Gene,Log2FoldChange,pvalue
TLCD3B,-0.44,0.012
AIF1,0.43,0.012
MAP3K14-AS1,-0.39,0.012
RNF19A,0.27,0.012
ANGPTL8,-1,0.0121
ITSN1,-0.27,0.0121
AUP1,0.17,0.0121
PLK2,0.36,0.0121
SH3BP1,0.59,0.0121
HNRNPL,0.13,0.0121
NFIA,-0.33,0.0121
SYT7,-0.91,0.0122
IRAK4,-0.16,0.0122
KIAA1755,-0.79,0.0123
ARAF,-0.18,0.0123
SPSB3,-0.22,0.0123
FEM1B,-0.19,0.0123
TBC1D8B,-0.31,0.0124
KRT7,-1.37,0.0124
AOC1,0.95,0.0124
GPR82,0.44,0.0125
USF2,-0.18,0.0125
MLN,-0.11,0.0125
DOCK9,-0.36,0.0125
PART1,1.09,0.0125
F2RL1,-0.78,0.0125
ZNF22-AS1,0.25,0.0125
CAMTA1,-0.21,0.0125
NOMO3,-0.27,0.0125
ELOVL3,-0.47,0.0125
NOP53,0.29,0.0125
EPHA1,-0.79,0.0125
KLHL8,-0.31,0.0126
SLC39A6,0.26,0.0126
PNLIPRP3,-0.17,0.0126
DPT,-1.09,0.0126
NUTF2,0.22,0.0126
SF3B3,0.17,0.0127
PRAMEF9,-0.69,0.0127
NAA60,-0.14,0.0127
SERPINA5,-0.67,0.0128
PCM1,0.32,0.0128
POMGNT2,-0.19,0.0128
TRPM6,0.67,0.0128
PCDH7,-0.74,0.0128
GBA2,-0.17,0.0129
SFXN4,0.21,0.0129
FRMPD2,-0.24,0.0129
GNL3L,0.19,0.0129
PLCE1,-0.46,0.0129
C1ORF21,-0.5,0.0129
PLIN4,-0.52,0.0129
LRRC61,0.3,0.0129
SMG8,0.17,0.0129
IMP4,0.18,0.0129
IRGM,-0.27,0.0129
UBN1,-0.17,0.013
GOLGA2P7,0.39,0.013
CYP20A1,-0.13,0.013
SGCB,-0.51,0.013
ACSL3,0.27,0.013
DLAT,0.3,0.013
TRIM17,0.76,0.0131
ANK2,0.61,0.0131
CDKN2AIPNL,0.25,0.0131
LINC01003,-0.29,0.0131
S100B,0.54,0.0131
ELP4,0.16,0.0131
PHKG2,-0.21,0.0132
LINC02800,-0.08,0.0132
CAPN14,-0.35,0.0132
PGGHG,-0.47,0.0132
LHX2,-0.6,0.0132
ZNF275,-0.27,0.0132
RIMBP3,-0.42,0.0133
GPR119,0.41,0.0133
TDO2,-0.98,0.0133
SRSF2,0.14,0.0133
KRBA1,0.53,0.0133
SNORA74A,0.24,0.0133
SLC5A4,-0.35,0.0133
SAV1,-0.28,0.0133
GALNT17,-0.75,0.0133
CHI3L1,-1.22,0.0133
GDPGP1,-0.22,0.0134
URB1,0.27,0.0134
SNX13,-0.21,0.0134
NFIX,-0.42,0.0134
DPF3,-0.56,0.0134
SETD9,0.27,0.0135
EEF1AKMT3,0.2,0.0135
PTX4,-0.15,0.0135
GRHL3,-0.48,0.0135
TINF2,-0.15,0.0135
ELP1,0.33,0.0135
ABCC6,-0.37,0.0135
FBXL12,0.19,0.0135
MORN4,0.34,0.0135
DGAT2,-0.54,0.0136
CHEK1,0.37,0.0136
PARP8,0.43,0.0136
MED4,0.19,0.0136
RHD,-0.34,0.0136
EIF4E3,-0.53,0.0136
FLYWCH1,-0.22,0.0137
P2RY13,0.45,0.0137
SMIM10L2B,-0.5,0.0137
SNRPD2,0.33,0.0137
SUMO2,0.17,0.0137
PFDN4,0.29,0.0137
NLRC4,0.33,0.0137
LSM8,0.22,0.0138
TTF2,0.36,0.0138
MRPL1,0.2,0.0138
PALM3,-0.73,0.0138
USP48,-0.17,0.0138
RBM20,-0.5,0.0138
NT5C3B,0.28,0.0138
TMCO6,0.3,0.0139
RTN4RL2,-0.53,0.0139
DCUN1D3,-0.25,0.0139
LRMDA,-0.31,0.0139
AMN1,-0.21,0.0139
CXCL3,0.69,0.014
PEX19,-0.22,0.014
DNAAF8,-0.34,0.014
COQ6,-0.21,0.014
LZTFL1,0.34,0.014
TMEM45A,-0.83,0.014
FAM220A,0.17,0.014
LDHB,0.53,0.014
BMF,0.61,0.014
ITGA10,-0.41,0.014
ORC5,0.15,0.014
SLC17A8,0.56,0.014
PCNX3,-0.2,0.014
MAK,0.36,0.0141
GCN1,0.17,0.0141
CLIP2,-0.53,0.0141
CLRN3,-1.15,0.0141
GAS1,-0.69,0.0141
HNRNPF,0.12,0.0141
NME2P1,0.36,0.0142
CLDN19,0.89,0.0142
TXLNB,0.6,0.0142
AP3B1,0.18,0.0142
IGSF9,-1.02,0.0142
ANO10,-0.26,0.0142
SLC27A3,-0.41,0.0143
ZNF57,-0.37,0.0143
RNF215,-0.22,0.0143
ISM2,0.79,0.0143
SRGAP1,-0.51,0.0143
PCGF5,-0.2,0.0143
ATXN3,-0.15,0.0143
LAMA2,-0.97,0.0143
SLC35A5,-0.18,0.0143
GGA2,-0.19,0.0144
TBC1D9,0.36,0.0144
BFSP1,0.34,0.0144
HILPDA,0.37,0.0144
SMAGP,0.32,0.0144
SERPINB7,-0.17,0.0145
SNRPGP15,0.28,0.0145
SEC14L2,-0.73,0.0145
PLA2G2F,-0.14,0.0145
HTR7P1,-0.31,0.0145
PRPF19,0.14,0.0145
SPIC,0.5,0.0145
DEPTOR,0.32,0.0146
PLCXD1,-0.46,0.0146
SLC49A3,-0.59,0.0146
GUSB,-0.24,0.0146
UBE2Z,0.18,0.0146
RPN1,-0.13,0.0146
CXCL5,1.2,0.0146
GGA3,0.16,0.0146
CAMK1D,-0.6,0.0146
LINC00938,-0.21,0.0147
MYOM3,-0.45,0.0147
RILP,-0.38,0.0147
KIAA2013,-0.23,0.0147
CACNA1C,-0.49,0.0147
DAB1,-0.67,0.0148
DYRK3,-0.45,0.0148
BEGAIN,-0.69,0.0148
LMNB1,0.4,0.0148
TARS1,0.2,0.0148
CMTM3,0.42,0.0148
WDR74,0.2,0.0148
VAPB,-0.15,0.0148
ATP6V0A4,0.44,0.0149
ZBED3-AS1,0.34,0.0149
TOPAZ1,-0.11,0.0149
PEPD,-0.3,0.0149
CNNM3,-0.19,0.0149
WDR93,0.32,0.0149
GABRR3,0.53,0.0149
LINC00689,-0.57,0.0149
TM4SF20,-1.08,0.0149
U2AF2,0.14,0.0149
OSGIN2,0.27,0.0149
PPIP5K1,-0.24,0.0149
SNORA49,-0.04,0.0149
SLC25A44,-0.2,0.015
ARF2P,0.52,0.015
DNAJC12,0.67,0.015
LINC00304,-0.24,0.015
TMEM272,0.45,0.015
TMEM213,0.25,0.015
IFNGR1,0.38,0.015
PPP1R1C,0.82,0.015
CFAP161,-0.36,0.0151
TBCA,0.24,0.0151
FASTKD5,0.18,0.0151
ZNF518B,-0.51,0.0151
AGTR1,0.57,0.0151
SLC22A8,0.82,0.0151
MAN1A2,-0.33,0.0151
RHBDL1,-0.52,0.0151
NAPG,-0.18,0.0151
TMEM243,0.42,0.0151
FKBP1AP1,0.45,0.0152
PDPN,-0.8,0.0152
NXPH4,-0.79,0.0152
BNC2,-0.49,0.0153
TPCN2,-0.29,0.0153
ETFBKMT,-0.32,0.0153
SSTR5,-0.71,0.0153
BLOC1S4,0.21,0.0153
TIGD2,-0.42,0.0154
HECTD1,-0.23,0.0154
IFIT1B,-0.19,0.0154
IBTK,-0.2,0.0154
SLC25A23,-0.28,0.0154
ITPRIPL1,0.45,0.0154
LIPA,0.25,0.0154
GTF3C4,0.28,0.0154
FBXL6,0.29,0.0154
SHROOM3,-0.43,0.0155
MAP3K13,-0.49,0.0155
RNF220,0.16,0.0155
SLC4A5,0.43,0.0155
TDRD10,-0.56,0.0155
SLC39A12,-0.18,0.0155
CCDC184,-0.43,0.0155
DEGS2,-0.58,0.0155
LRRC18,-0.16,0.0155
SNORD116-4,0.84,0.0155
ECPAS,0.15,0.0155
ADAM33,-0.56,0.0155
PTBP3,0.22,0.0155
DUSP3,-0.2,0.0155
HSPA4,0.19,0.0156
SLC24A1,-0.22,0.0156
MAGT1,-0.19,0.0156
ENO1,0.32,0.0157
WDR13,-0.27,0.0157
RBM24,0.61,0.0157
BTD,-0.32,0.0157
ZBTB18,-0.32,0.0158
ADM,0.42,0.0158
DNAJA1,0.22,0.0158
HLA-DRB6,0.6,0.0158
ABAT,-0.56,0.0158
RGS5,-0.42,0.0158
INHBA-AS1,-0.44,0.0158
BHLHA15,0.53,0.0159
THEM4,0.22,0.0159
SERPINA12,-0.78,0.0159
EML5,-0.22,0.0159
MCAT,0.21,0.0159
ZNF219,-0.24,0.016
MTA1,0.19,0.016
CCDC39,-0.38,0.016
CISD1,0.19,0.016
CD14,-0.48,0.016
FLCN,-0.19,0.016
SETBP1,-0.44,0.016
CLRN1-AS1,-0.29,0.016
AVPR1A,-0.91,0.016
SETD1B,-0.18,0.016
UBR7,-0.15,0.016
ASB11,-0.17,0.016
THAP11,0.15,0.0161
CHID1,-0.22,0.0161
NPC1,0.23,0.0161
TRAM1,0.25,0.0161
ZNF654,-0.19,0.0161
HNRNPD,0.15,0.0161
OXTR,0.64,0.0161
TMEM218,0.17,0.0161
CD5L,1.1,0.0161
MYO5A,-0.36,0.0161
MT1A,0.9,0.0162
LINC00893,-0.38,0.0162
CAV2,-0.54,0.0162
LHPP,-0.41,0.0162
PRKCB,0.54,0.0162
LUM,-1.12,0.0162
RPS6KA3,0.35,0.0162
PM20D2,0.35,0.0162
TMPRSS2,-0.61,0.0162
SPATA18,-0.71,0.0162
HLX,-0.33,0.0162
DUSP12,0.21,0.0162
MYLK,-0.45,0.0163
MLPH,-0.81,0.0163
RPL11,0.24,0.0163
MACROD1,-0.46,0.0163
CDS2,0.17,0.0163
ERF,0.24,0.0164
ACBD4,-0.42,0.0164
CDRT4,0.39,0.0164
PEX11G,-0.47,0.0164
LRP4,0.69,0.0164
WNK3,-0.67,0.0165
MAP4K2,-0.25,0.0165
MMP9,0.85,0.0165
UCKL1-AS1,-0.35,0.0165
C5AR1,0.41,0.0165
MFN2,-0.19,0.0165
NUDT4,0.21,0.0165
SIGLEC9,0.46,0.0165
CPNE6,-0.42,0.0166
CIRBP-AS1,-0.32,0.0166
SDS,-1.25,0.0166
FDX1,-0.26,0.0166
NBPF1,-0.33,0.0166
TPTEP2,-0.31,0.0166
LARGE1,-0.32,0.0167
TUBGCP5,-0.17,0.0167
SRRM2-AS1,-0.32,0.0167
C20ORF96,0.29,0.0167
THAP10,-0.32,0.0167
SMC1B,-0.68,0.0167
NFASC,-0.5,0.0167
SNAP25,0.9,0.0168
DEFA4,-0.16,0.0168
PCBP1,0.11,0.0168
DNAJC7,0.19,0.0168
AKTIP,-0.25,0.0168
PRKCZ,-0.65,0.0168
ARID5B,0.37,0.0168
MICU3,-0.56,0.0169
UCP2,0.45,0.0169
SULT1C4,0.83,0.0169
NEFH,0.71,0.0169
ODC1,0.32,0.0169
MIEF2,-0.2,0.0169
SEL1L,-0.24,0.0169
FAM111A,-0.22,0.0169
SLC38A4,-0.67,0.0169
ZNF747,-0.18,0.0169
EFEMP1,-1.05,0.0169
SRD5A1,-0.39,0.017
SIRT2,-0.18,0.017
RP1,-0.3,0.017
SFXN5,-0.29,0.017
ZPR1,0.19,0.017
CRIP3,-0.55,0.0171
ST6GAL1,-0.44,0.0171
PTP4A2,-0.22,0.0171
ROGDI,-0.26,0.0171
GLYR1,-0.16,0.0171
MIR100HG,-0.59,0.0172
KCNJ6,-0.44,0.0172
HCG26,-0.41,0.0172
AHNAK2,-0.85,0.0172
INCA1,-0.35,0.0172
MRPS31,0.21,0.0172
NUP107,0.22,0.0172
CLTCL1,-0.33,0.0173
FHIP2A,-0.2,0.0173
CLDN1,0.36,0.0173
LINC00452,-0.12,0.0173
MRPL33,0.21,0.0173
TRIM71,0.83,0.0173
CEP83,0.2,0.0174
MRPL32,0.13,0.0174
FAM99B,-0.7,0.0174
YAE1,0.16,0.0174
FTSJ3,0.17,0.0174
NR6A1,0.4,0.0175
PRG2,-0.7,0.0175
CPT1C,-0.35,0.0175
UBE2E2,0.37,0.0175
GLT8D1,0.2,0.0175
EPM2A,-0.27,0.0175
NUP155,0.23,0.0175
MICAL3,-0.22,0.0175
PRKD1,-0.51,0.0175
MTBP,0.47,0.0175
ZNF148,-0.18,0.0176
ATP2B2,-0.68,0.0176
RNF207,-0.26,0.0176
FAM234A,-0.24,0.0176
CYHR1,0.27,0.0176
PPP2CB,0.24,0.0176
AREG,0.81,0.0176
HS3ST6,-0.3,0.0176
CLDN2,0.86,0.0177
ZMYND19,0.19,0.0178
GTF2H2,0.49,0.0178
VSTM4,-0.61,0.0178
SRCAP,-0.2,0.0178
PER1,-0.37,0.0178
ZNF815P,-0.26,0.0179
RBM22,0.14,0.0179
TBX1,-0.56,0.0179
SSC5D,-0.71,0.0179
SCARNA5,0.26,0.0179
MGP,-0.63,0.0179
CUL1,0.15,0.0179
TMEM167B,-0.15,0.018
SLC26A11,0.22,0.018
IQCB1,0.22,0.018
C3P1,-0.99,0.018
CARF,-0.26,0.0181
ZNF143,0.16,0.0182
GTF2IRD2B,-0.36,0.0182
ACTG1,0.24,0.0182
GALNT18,-0.47,0.0183
GRK6,0.22,0.0183
EXOC8,-0.19,0.0183
GSDMD,0.26,0.0183
CSNK2A3,0.31,0.0183
ADCY8,1.04,0.0184
FBXO33,-0.18,0.0184
LYVE1,0.61,0.0184
LRRC26,-0.55,0.0184
BLOC1S1,-0.23,0.0184
TANGO2,-0.22,0.0184
P2RY6,0.6,0.0185
FAM222A-AS1,0.41,0.0185
GLCE,-0.26,0.0185
AMH,-0.46,0.0186
ZBED4,0.22,0.0186
AFF1,-0.26,0.0186
CC2D1A,-0.23,0.0186
OMD,-0.71,0.0186
FER,0.3,0.0186
HIF1AN,0.2,0.0186
PECR,-0.39,0.0186
P4HTM,-0.5,0.0187
EFHD1,-0.62,0.0187
HK3,0.57,0.0187
SCUBE1,-1.22,0.0187
KLHL22,-0.17,0.0187
POSTN,-1.01,0.0187
SPATA21,0.89,0.0187
MBTPS1,-0.14,0.0188
SOX12,0.36,0.0188
WDR18,0.2,0.0188
GLS2,-1.13,0.0188
CENPBD1P1,0.19,0.0188
SEC14L1,0.23,0.0189
ADAD2,-0.25,0.0189
SLC4A1AP,0.11,0.0189
APOO,-0.19,0.0189
B3GAT1,-0.81,0.019
NALCN,-0.83,0.019
ZNF521,-0.49,0.019
MAN1B1-DT,0.32,0.019
CTNNA1,0.14,0.019
SNAPC1,0.23,0.019
IRF6,-0.74,0.019
KCNK15,-0.63,0.019
MED15,0.16,0.0191
UBD,0.72,0.0191
NUCKS1,-0.19,0.0191
PRKDC,0.31,0.0192
NDUFA6,-0.18,0.0192
PCDHA10,-0.58,0.0192
SUOX,-0.24,0.0193
TMEM230,0.16,0.0193
CTSO,-0.37,0.0193
SMIM30,0.24,0.0193
PLK3,0.36,0.0193
SYNE2,-0.3,0.0193
PPIAL4G,0.26,0.0193
PTPRA,-0.15,0.0193
JRK,0.31,0.0193
SNTB1,0.36,0.0194
CDC25A,0.53,0.0194
CHCHD10,-0.41,0.0194
SLC22A24,-0.26,0.0194
CATSPERZ,-0.42,0.0194
INMT,-0.75,0.0194
PRAC1,-0.1,0.0195
METAP2,0.13,0.0195
SSX5,-0.41,0.0195
TSHZ1,-0.22,0.0195
GJA9,-0.31,0.0195
PDZD4,-0.5,0.0195
MRE11,0.27,0.0196
NFYA,0.26,0.0196
DYRK1B,0.31,0.0196
VWA7,0.46,0.0196
MEST,0.44,0.0196
PRR4,-0.3,0.0196
LST1,0.4,0.0197
CHAC1,-0.65,0.0197
ANXA10,-0.8,0.0197
KAAG1,0.7,0.0198
ESRG,0.34,0.0198
MCTP2,-0.77,0.0198
CLPB,-0.21,0.0198
EXOSC8,0.21,0.0198
ZNF658,-0.26,0.0198
RNF150,-0.53,0.0198
TMEM211,-0.04,0.0198
ABLIM2,-0.69,0.0198
ZNF746,0.23,0.0198
SYCE2,-0.35,0.0198
MAN2A2,-0.25,0.0199
TMTC3,-0.18,0.0199
CCDC77,0.26,0.0199
TBXAS1,0.41,0.0199
BEST1,-0.43,0.02
TRIM32,0.19,0.02
GYPB,-0.07,0.02
TMEM59,-0.19,0.0201
ABO,-0.39,0.0201
CYP21A2,-0.53,0.0201
PAQR4,-0.38,0.0201
SPEM1,-0.03,0.0201
FSD1L,0.36,0.0202
SPATC1,-0.32,0.0202
TM6SF2,-0.57,0.0202
CHD1,0.21,0.0203
VDAC2,0.18,0.0203
KLHL20,-0.27,0.0203
KLF13,-0.27,0.0203
C11ORF49,0.35,0.0203
C1ORF105,0.47,0.0203
CLEC11A,-0.51,0.0204
BHLHE22,-0.65,0.0204
FBXO39,-0.42,0.0204
EPS8L3,1.07,0.0204
UBE2QL1,-0.89,0.0205
CYP46A1,-0.39,0.0205
ANP32A-IT1,-0.29,0.0205
CAVIN1,-0.32,0.0206
YEATS2,0.25,0.0206
FBLN2,-0.83,0.0206
SLC18A3,-0.11,0.0206
UTP15,0.16,0.0206
NUDT15,0.22,0.0207
ACACA,0.29,0.0207
MYH14,-0.34,0.0207
CBWD3,0.33,0.0207
ASB17,-0.07,0.0207
CHKA,0.33,0.0207
UACA,-0.21,0.0208
PARP3,-0.25,0.0208
PRADC1,-0.25,0.0208
TPD52L2,0.2,0.0208
HLCS,-0.17,0.0208
VPS45,-0.18,0.0208
MAGEB16,-0.33,0.0208
WWOX,-0.23,0.0208
OBP2B,-0.05,0.0209
LDHA,0.23,0.0209
SSPOP,-0.62,0.0209
LINC00592,-0.12,0.0209
UBASH3B,0.48,0.0209
ZFP92,-0.31,0.0209
LGR6,-0.76,0.0209
ZDHHC18,0.2,0.021
DLEU1,0.25,0.021
MRPL9,0.2,0.021
MLLT11,-0.5,0.021
DDX20,0.18,0.021
TPTE2P1,0.7,0.021
RNPC3,-0.27,0.021
CETN3,0.2,0.021
ANO1,-0.8,0.021
MYT1L,-0.23,0.0211
PCGF6,0.19,0.0211
DNAJC14,-0.13,0.0211
NSMAF,0.31,0.0211
SGIP1,-0.53,0.0211
EPRS1,0.18,0.0211
CACNA1H,-0.92,0.0212
SQSTM1,0.39,0.0212
SMAD2,0.17,0.0212
RBP5,-0.58,0.0212
CISD2,-0.17,0.0212
PHYHIPL,0.67,0.0212
SVBP,0.28,0.0212
COL11A1,-0.8,0.0212
XRCC5,0.12,0.0213
NRG1,1.01,0.0213
BBOX1,-0.99,0.0213
IVD,-0.3,0.0213
BLCAP,-0.2,0.0213
GUCY2D,-0.5,0.0213
TSGA10IP,0.35,0.0213
ISCA1P1,0.16,0.0213
MTMR10,-0.19,0.0213
EEF2K,-0.17,0.0213
UVSSA,-0.26,0.0213
SYNDIG1,-0.49,0.0213
WTAP,0.18,0.0213
DCAF5,-0.15,0.0214
APOM,0.68,0.0214
APLP1,-0.83,0.0214
LINC00964,-0.21,0.0215
MEIS2,-0.39,0.0215
GPI,-0.24,0.0215
CDH23,-0.5,0.0215
KAT2B,-0.33,0.0215
RRNAD1,-0.2,0.0216
ALPK1,-0.36,0.0216
ANKRD18DP,-0.35,0.0216
TRIM9,-0.65,0.0216
CFHR4,-0.99,0.0216
SMC3,0.23,0.0216
TRPM8,-0.87,0.0216
PTGR1,0.55,0.0216
KCTD1,-0.35,0.0216
B3GALNT2,0.19,0.0216
PTBP1,0.12,0.0216
CHD1L,0.23,0.0216
TMEM154,-0.61,0.0216
LRPAP1,-0.18,0.0217
NDUFAF7,0.15,0.0217
SUN1,-0.18,0.0217
MPRIP,-0.2,0.0217
INTS9,0.23,0.0217
CCL4L1,0.53,0.0217
FLVCR1,0.36,0.0217
GRAP,-0.29,0.0218
LCP1,0.45,0.0218
SNRPF,0.25,0.0218
MIGA2,-0.19,0.0218
SLC9A6,-0.2,0.0218
FBXO6,-0.27,0.0218
DPM2,0.22,0.0218
PITPNC1,-0.28,0.0218
ADGRE2,0.46,0.0218
DCUN1D2,-0.22,0.0218
DUSP14,0.23,0.0219
ECE2,0.23,0.0219
PPP1R14B,0.26,0.0219
AP1M2,1.31,0.0219
DCST1,-0.2,0.022
CCDC87,-0.38,0.022
GAMT,-0.47,0.0221
PLCB4,-0.46,0.0221
MSL3,0.13,0.0221
MYRF-AS1,-0.2,0.0222
CCDC85A,-0.4,0.0222
ATP1A2,-0.61,0.0222
RARG,-0.32,0.0222
NCF2,0.5,0.0223
KNG1,-0.79,0.0223
EIF4E,0.16,0.0223
PDZD2,-0.38,0.0223
PBX3,-0.36,0.0223
BTN3A3,-0.31,0.0223
MT1M,1.03,0.0223
ADORA2B,0.51,0.0224
GP5,-0.36,0.0224
TIGD1,0.36,0.0224
LINC02716,-0.58,0.0224
ACTN1,0.22,0.0224
SEC11A,0.15,0.0224
TXLNA,-0.18,0.0224
F11R,-0.27,0.0225
C7,-1.06,0.0226
THBS2,-0.82,0.0226
NUDT17,0.37,0.0226
HSD11B1L,-0.32,0.0226
NFATC2IP,-0.19,0.0227
PDIA5,-0.27,0.0227
LNPEP,-0.31,0.0227
PRORP,-0.15,0.0227
CSNK1G3,0.16,0.0227
CDON,0.36,0.0227
ATP5MC2,0.2,0.0227
SNRPC,0.2,0.0228
APOBEC4,0.12,0.0228
TMEM65,0.3,0.0228
BCAT2,-0.35,0.0229
NLRP11,-0.77,0.0229
PCDHB1,-0.13,0.0229
PLN,-0.62,0.0229
PJA1,0.2,0.023
PLEKHB1,0.95,0.023
FAM86FP,0.35,0.023
TCF3,0.23,0.023
PDCL3,0.18,0.023
ZNF565,0.17,0.0231
TMPRSS9,-0.81,0.0231
ARV1,-0.19,0.0231
SLC37A3,0.21,0.0231
MRPS18C,0.15,0.0232
RP9P,0.25,0.0232
NOTCH2NLA,-0.28,0.0232
B4GALT5,0.26,0.0232
MRAP2,0.78,0.0232
NAE1,0.15,0.0233
SECISBP2L,-0.27,0.0233
RAX,-0.11,0.0234
MMACHC,-0.21,0.0234
RIMS4,-0.35,0.0234
ENSA,-0.17,0.0234
RPEL1,0.22,0.0234
NAGK,0.17,0.0235
DNAJB9,-0.25,0.0235
SGF29,-0.21,0.0235
VPS54,0.2,0.0235
TMEFF1,-0.33,0.0235
CADM4,-0.53,0.0235
SKIV2L,0.17,0.0235
TMEM229A,-0.12,0.0235
RSC1A1,-0.33,0.0236
LINC00470,0.8,0.0236
KIN,0.16,0.0237
ZBTB47,-0.26,0.0237
ARL11,0.36,0.0237
STIP1,0.21,0.0237
HSF4,-0.4,0.0237
HSP90AA1,0.18,0.0237
AKR7L,-0.54,0.0238
DDX25,0.55,0.0238
ALDH1L1,0.78,0.0238
E2F4,0.18,0.0238
KMT5A,0.16,0.0238
ZNF286A,0.27,0.0239
ANKS6,0.67,0.024
SLC25A19,0.23,0.024
NLRC5,-0.38,0.024
ELMOD1,-0.37,0.024
PPFIA1,-0.2,0.024
GYPE,-0.32,0.0241
TRAPPC4,0.19,0.0241
USP40,0.16,0.0241
PRAMEF5,-0.37,0.0241
SEC24B,-0.23,0.0241
COQ10A,-0.31,0.0242
CYSRT1,-0.37,0.0242
MICOS10,-0.23,0.0242
ZNF227,0.24,0.0242
CSTF2,0.23,0.0242
CPAMD8,-0.42,0.0242
CEBPA,-0.44,0.0242
USP43,-0.76,0.0243
NOL10,0.11,0.0243
PSMG1,0.21,0.0243
RAB11FIP3,-0.2,0.0243
CSNK2B,0.16,0.0243
KCTD13,-0.24,0.0243
FAM91A1,0.19,0.0244
FASTK,-0.19,0.0244
RGCC,-0.28,0.0244
PPM1E,-0.65,0.0244
LPO,-0.21,0.0245
ZBTB37,-0.27,0.0245
EMILIN1,-0.64,0.0245
GEMIN2,0.19,0.0245
CDV3,0.13,0.0245
TRPC2,0.27,0.0245
CYP3A5,-0.62,0.0245
GCGR,-1.25,0.0246
UQCRBP1,0.27,0.0246
NDUFB1,-0.23,0.0246
ARNTL,-0.3,0.0246
ATP1B3,0.35,0.0246
LILRA3,0.68,0.0247
FGL1,0.62,0.0247
DAG1,-0.18,0.0248
P4HA1,0.4,0.0248
ARHGAP26,0.27,0.0248
C9ORF24,-0.4,0.0248
LPAR4,-0.24,0.0248
FUNDC2P2,0.44,0.0248
COL6A3,-0.52,0.0248
UHRF2,0.2,0.0248
LPCAT4,0.37,0.0249
EPHB4,-0.26,0.0249
GEMIN7,0.24,0.0249
JPT1,0.3,0.0249
TRMT13,0.2,0.0249
HCFC1R1,-0.25,0.025
C20ORF202,0.37,0.025
TUBB4A,-0.5,0.025
NOP9,-0.19,0.0251
AK2,-0.19,0.0251
SEPTIN10,0.22,0.0251
LSM6,0.15,0.0251
MYL3,-0.48,0.0252
INGX,0.27,0.0252
TNRC6C,-0.28,0.0253
PLA2G2A,-1.41,0.0253
NDUFS8,-0.21,0.0253
HSD17B12,-0.25,0.0254
CPNE3,0.21,0.0254
RMDN3,-0.15,0.0254
SNW1,0.12,0.0254
HSD17B6,-0.75,0.0254
ALOX15,-0.39,0.0254
GABRD,-0.42,0.0254
HFM1,0.44,0.0254
MIR1-1HG-AS1,-0.28,0.0254
PTPN2,0.23,0.0254
TCAM1P,-0.59,0.0255
MEX3A,0.47,0.0255
GTPBP8,0.15,0.0255
GLRX5,-0.21,0.0255
TCF7,0.46,0.0255
CST2,-0.55,0.0255
GOT2,-0.3,0.0256
PLEK,0.47,0.0256
EDC3,0.14,0.0256
CXORF51A,-0.08,0.0256
LNP1,-0.28,0.0256
ERCC5,-0.17,0.0256
ATP11B,-0.25,0.0256
CASS4,0.42,0.0257
ABCA2,-0.36,0.0257
TPD52,0.25,0.0257
LINC00298,-0.23,0.0257
HNRNPC,0.1,0.0258
PLD1,-0.4,0.0258
TCF4,-0.35,0.0258
OR52E2,-0.03,0.0258
AGPAT2,-0.45,0.0258
AKR1C2,0.62,0.0258
TRIM6,0.54,0.0259
CIDEA,-0.49,0.0259
C1QL4,-0.45,0.026
PLOD1,-0.23,0.026
TXNIP,-0.42,0.026
PTPRR,-0.44,0.026
CIRBP,-0.24,0.026
PTGES2,0.21,0.026
MPEG1,0.35,0.026
CES2,-0.57,0.026
AEBP2,0.22,0.0261
MEIS3,-0.49,0.0261
DNAJB3,0.44,0.0261
SLC7A6OS,0.24,0.0261
DTWD1,0.15,0.0262
ZNF678,-0.36,0.0262
NAA20,0.19,0.0262
ERBB2,-0.4,0.0262
NHLRC3,-0.21,0.0262
CNGB1,0.56,0.0262
SLC6A7,0.57,0.0262
ATPAF2,-0.17,0.0263
ZSWIM8,-0.18,0.0263
GDPD1,0.39,0.0263
SLC16A6,0.48,0.0263
NCCRP1,0.65,0.0263
MCPH1,0.23,0.0263
NR1D2,-0.22,0.0263
SYCP1,-0.05,0.0264
LSMEM2,-0.38,0.0264
TRIM47,-0.45,0.0265
VWA3B,-0.42,0.0265
PEF1,-0.17,0.0265
C5ORF49,-0.67,0.0265
SPRY3,-0.24,0.0265
NEK1,-0.23,0.0265
GUCY2C,0.98,0.0266
KCNJ3,-0.74,0.0266
SPATA5L1,0.16,0.0266
MSANTD3,0.19,0.0266
SPIDR,0.22,0.0267
CCNP,-0.77,0.0267
LSM5,0.18,0.0267
KCNK13,-0.55,0.0267
DDX19A,0.13,0.0267
MYOT,0.38,0.0267
NRTN,-0.42,0.0268
MCM7,0.28,0.0268
CD33,0.36,0.0268
TINAG,1.21,0.0268
D2HGDH,-0.23,0.0268
LBR,0.21,0.0268
ALYREF,0.24,0.0268
TSEN34,0.18,0.0269
SLC43A3,-0.36,0.027
ARHGEF37,-0.58,0.027
IFT20,0.18,0.027
RIPK4,0.3,0.027
PAX8-AS1,0.74,0.027
SRRD,0.16,0.027
VPS26C,-0.18,0.0271
EIF1,0.18,0.0271
GCLC,0.3,0.0272
HLA-J,-0.43,0.0272
MMP23A,-0.32,0.0272
ALDH2,-0.42,0.0272
ZKSCAN1,-0.33,0.0272
GRB10,-0.2,0.0273
TRNP1,0.71,0.0273
