Gene	Log2FoldChange	pvalue
ZMYND8	0.05	0.607
MRM2	0.03	0.607
ERICH3	-0.1	0.607
HTR2B	-0.15	0.607
CFAP126	-0.08	0.607
PIWIL3	-0.04	0.607
FAM171A1	-0.17	0.607
USP17L2	0.01	0.607
LINC00965	-0.09	0.607
PSENEN	0.05	0.607
SMIM6	-0.15	0.607
SNORD89	0.02	0.608
NRDE2	-0.05	0.608
USP32P1	-0.13	0.608
SLIT1	0.09	0.608
WDFY3	-0.06	0.608
FAM72B	0.1	0.608
THBD	-0.1	0.608
PSG10P	0.01	0.608
TRIM22	-0.1	0.608
NUTM2G	0.08	0.608
DNAJB14	-0.06	0.608
HSD17B4	-0.06	0.609
ANGEL1	-0.06	0.609
MGAT4A	-0.06	0.609
FDCSP	-0.21	0.609
SLAMF6	0.12	0.609
LINC02085	-0.09	0.609
CBLB	-0.05	0.609
ARFIP2	0.04	0.609
CHODL	-0.15	0.609
MRPS12	0.05	0.609
SNX29	-0.1	0.609
XKR6	0.08	0.61
CA3	-0.12	0.61
SETD5	0.05	0.61
CD96	0.11	0.61
NELL1	-0.07	0.61
FIGNL1	-0.06	0.61
TEKT3	-0.07	0.61
CXCR5	0.11	0.61
SAMD12	0.18	0.61
ZNF585B	0.09	0.61
ZNF711	0.17	0.61
PKD2L2	0.03	0.61
SDR16C5	-0.06	0.61
EVA1A	0.12	0.61
UBXN2A	0.03	0.61
OR4K1	0.02	0.61
BLOC1S5	0.04	0.61
SLC5A7	-0.04	0.61
TMEM82	-0.19	0.611
SEMG1	-0.03	0.611
HELQ	-0.03	0.611
OMA1	0.05	0.611
KRT25	0.03	0.611
RECQL5	0.05	0.611
ACTR2	0.04	0.611
ATXN2L	-0.04	0.611
CNPY2	0.04	0.611
IQCE	-0.06	0.612
PRUNE1	-0.05	0.612
ODF2L	0.11	0.612
SH2D5	0.12	0.612
KCNS2	-0.06	0.612
KRT17	0.2	0.612
SEMA4D	0.1	0.612
FBRSL1	0.05	0.612
SIX5	0.04	0.612
RFPL1	0.09	0.612
MTMR6	-0.05	0.613
FOXD4L6	-0.06	0.613
ZNF260	-0.05	0.613
ZNF764	-0.04	0.613
TAF10	-0.05	0.613
GPR137B	-0.09	0.613
AIRE	0.09	0.613
CEP131	-0.06	0.613
SLC25A36	0.1	0.613
ADAD1	-0.07	0.613
FBXO32	0.11	0.613
TM9SF4	0.03	0.613
AHCTF1	0.05	0.614
MAP3K9	-0.07	0.614
STPG1	-0.06	0.614
RAD23A	-0.03	0.614
CCDC144CP	-0.04	0.614
FAM131C	-0.16	0.614
RFPL4B	0.22	0.614
ACTL7A	0.01	0.614
GOLGA6L10	-0.08	0.614
ACADSB	-0.1	0.614
ATP2A3	-0.11	0.614
LDLRAD1	-0.17	0.614
ZNF345	-0.06	0.614
ASPHD2	0.08	0.614
ALG10B	0.06	0.614
DNAJA2	0.05	0.614
TENM2	0.2	0.615
NANOG	-0.06	0.615
PIK3IP1	0.08	0.615
HCAR2	0.14	0.615
FAT3	-0.11	0.615
ASZ1	-0.05	0.615
VPS8	-0.03	0.615
KIAA0586	-0.04	0.615
ZFYVE19	-0.06	0.615
CHEK2	0.08	0.615
LINC01140	-0.08	0.615
DNAJC13	-0.04	0.615
PRSS41	0.04	0.615
FAM107A	-0.09	0.615
C9ORF72	-0.07	0.615
FLT3LG	-0.07	0.615
TMEM130	-0.19	0.616
SDCCAG8	0.04	0.616
CENPT	0.03	0.616
TMTC4	0.05	0.616
IRF3	-0.05	0.616
MPHOSPH9	0.06	0.616
ZDHHC4	-0.06	0.616
PPP1R3C	-0.09	0.616
CREBZF	-0.04	0.616
UBE2E3	0.03	0.616
CSN1S2AP	0	0.616
DDX59	0.04	0.616
SNORA50A	-0.01	0.617
ADAM21P1	-0.07	0.617
OR2D2	0.01	0.617
IL10RB	-0.04	0.617
TCL1A	0.13	0.617
TET2	-0.06	0.617
TNFRSF8	0.09	0.617
SMTNL1	-0.08	0.617
HAO1	-0.15	0.617
WDR81	0.05	0.617
SLC7A13	0.06	0.617
TBKBP1	0.06	0.617
LAMP3	0.12	0.617
SNORA55	-0.01	0.617
BBS7	0.08	0.617
RPP38-DT	0.06	0.617
DIP2A	-0.05	0.618
TIMP4	0.1	0.618
KIRREL3	0.09	0.618
ST8SIA6	0.08	0.618
PWWP2A	-0.04	0.618
B9D2	0.06	0.618
SNORA11	-0.01	0.618
GPRIN3	0.12	0.618
PUS10	-0.04	0.618
DENND4C	-0.05	0.618
MUC2	-0.1	0.618
TOX	0.16	0.618
NPFFR1	0.02	0.619
ZNF578	-0.1	0.619
SMC4	-0.07	0.619
TMEM127	-0.03	0.619
DNAAF9	0.06	0.619
DDT	-0.07	0.619
MPP7	0.11	0.619
SIX2	-0.14	0.619
SCRG1	-0.07	0.619
ZNF671	-0.09	0.619
LBP	0.15	0.619
INIP	0.04	0.619
SH3TC2	0.11	0.619
SNX24	-0.05	0.619
SLC26A1	0.09	0.619
KIF3A	0.05	0.62
TFCP2	-0.06	0.62
ZBTB24	0.04	0.62
SNRNP27	0.03	0.62
CELA1	-0.02	0.62
SH3RF2	0.11	0.62
RP2	0.06	0.62
ETV2	-0.07	0.62
SBDSP1	-0.04	0.62
LECT2	0.25	0.621
SLC11A2	-0.04	0.621
SOX7	0.1	0.621
ZNF324B	0.03	0.621
E2F1	-0.1	0.621
NECAB2	-0.19	0.621
H2BW2	0.02	0.621
PLEKHG7	0.07	0.621
ANKRD26P3	-0.02	0.622
RIMS2	0.12	0.622
ZNF667	-0.15	0.622
PNMA8A	0.18	0.622
CCNJ	-0.11	0.622
MBP	-0.06	0.622
TIFA	0.07	0.622
SLC5A6	0.06	0.622
KASH5	-0.12	0.622
CAMSAP1	0.04	0.622
OR52B4	0	0.623
LINC00339	-0.05	0.623
NUP43	0.05	0.623
CLEC12B	0.05	0.623
DNAJC19	0.04	0.623
C6ORF132	-0.15	0.623
CCHCR1	-0.06	0.623
SCAF11	0.04	0.623
VSTM1	0.04	0.623
KIAA0100	0.05	0.623
BTG3	0.05	0.623
TMEM30CP	0.01	0.623
CLDN11	0.15	0.623
GBX2	-0.05	0.623
NKIRAS1	-0.05	0.623
IRF2BPL	-0.06	0.623
FAM89B	0.04	0.624
MBTD1	0.05	0.624
LEUTX	0.01	0.624
SNX14	0.04	0.624
OBSCN	-0.16	0.624
PLEC	-0.05	0.624
TGM1	-0.09	0.624
LINC01634	0.06	0.624
H2BC15	0.09	0.624
FAM83E	0.11	0.624
LINC00235	0.05	0.624
KNL1	-0.09	0.624
SLC26A8	-0.07	0.624
TMED4	-0.04	0.624
SCIN	-0.12	0.624
CIITA	0.09	0.624
LINC00910	-0.07	0.624
OR13H1	0	0.624
FABP5P3	-0.04	0.624
CSRNP2	-0.04	0.625
SNCB	-0.04	0.625
RARB	0.1	0.625
ZNF486	-0.1	0.625
SCARB1	-0.07	0.625
ABRA	0.04	0.625
BBS10	0.04	0.625
RDH14	-0.03	0.625
PMFBP1	-0.11	0.625
RNF152	-0.08	0.625
SLC9A2	0.11	0.625
CMIP	0.04	0.625
APLN	0.11	0.625
SEPTIN7	0.03	0.625
COQ10B	-0.04	0.625
EDF1	-0.05	0.625
AKAP10	0.08	0.625
FOXI3	0.03	0.626
TOMM40L	-0.06	0.626
BRD3OS	-0.06	0.626
TRPC6	-0.09	0.626
CCT6B	0.11	0.626
ZC3H11A	-0.04	0.626
SPOCK2	0.09	0.626
PSTPIP1	0.12	0.626
AKAP17A	-0.04	0.626
PRSS35	0.11	0.626
SDC2	0.07	0.626
PDGFC	-0.08	0.626
SLC16A4	-0.13	0.626
CSNK1A1L	0.05	0.627
CCDC60	0.05	0.627
TH	0.09	0.627
FAM71E1	0.09	0.627
VIL1	0.19	0.627
CHSY3	-0.1	0.627
RND2	0.2	0.627
PRSS12	-0.17	0.627
ITGAL	-0.09	0.627
SKP2	0.09	0.627
USP45	0.05	0.627
ANGPTL7	-0.1	0.627
TERB1	-0.02	0.628
NEUROD6	0.05	0.628
PTPRG	-0.08	0.628
ZNF286B	0.08	0.628
MMS22L	0.08	0.628
ADGRF4	-0.08	0.628
RBMXL2	-0.06	0.628
H19	0.25	0.628
LINC00115	-0.05	0.628
FASLG	0.1	0.628
TPRA1	-0.03	0.628
TMTC2	0.1	0.628
LINC00051	0.01	0.628
C1QTNF1	-0.14	0.628
SIRPD	0.04	0.629
ZNF80	0.1	0.629
CISD3	0.05	0.629
LINC00635	-0.05	0.629
CARD6	-0.08	0.629
RMRP	0.08	0.629
RTP1	0.06	0.629
TMCC2	-0.09	0.629
CABCOCO1	-0.07	0.629
ROMO1	0.06	0.629
IL6	0.14	0.629
EHBP1L1	0.05	0.63
FECH	0.04	0.63
ASIC2	-0.1	0.63
BNIP1	0.04	0.63
HENMT1	-0.12	0.63
NXPH1	0.05	0.63
SNORD15A	-0.02	0.63
OR6C2	0.02	0.63
SV2A	-0.11	0.63
IPMK	0.11	0.63
SMUG1	-0.04	0.63
NGF	-0.08	0.63
PSG8	0.07	0.63
IQGAP2	-0.06	0.63
CAB39	-0.03	0.63
CEACAM7	-0.14	0.63
SLC66A3	-0.07	0.63
POP7	0.03	0.63
ALOXE3	0.06	0.63
PSAT1	0.1	0.631
CDK5	-0.05	0.631
HOTAIR	-0.05	0.631
HECTD3	-0.04	0.631
C7ORF26	0.03	0.631
NAP1L6P	0.14	0.631
EPN2	-0.05	0.631
APTX	0.03	0.631
SDHAF1	-0.05	0.631
TMED10P1	-0.05	0.631
NIPA1	-0.06	0.631
ITGB7	0.09	0.631
MTA2	0.03	0.631
B3GNT3	-0.19	0.631
FAM237A	0.01	0.632
CECR2	0.11	0.632
CCDC25	0.05	0.632
GATD1	-0.04	0.632
MCUB	-0.11	0.632
INTS11	0.04	0.632
JAKMIP3	0.12	0.632
CMTR1	0.03	0.632
OBI1	0.05	0.632
NRM	-0.07	0.632
ADAMTS12	-0.14	0.632
TNFSF9	0.13	0.632
C10ORF82	0.05	0.633
FCRL1	0.08	0.633
INKA2	-0.07	0.633
NPPC	-0.04	0.633
LINC00663	0.05	0.633
DDX12P	0.07	0.633
CTAG2	0.26	0.633
SPATA31B1P	0	0.633
COQ5	0.03	0.633
GNG2	0.07	0.633
CNTNAP4	0.2	0.633
PPP1R42	-0.02	0.633
PSMC5	-0.04	0.633
CLVS2	-0.1	0.634
EHMT1	0.03	0.634
NRADDP	-0.05	0.634
AVPR1B	0.03	0.634
GIMAP6	-0.07	0.634
ADGRB3	0.12	0.634
VRTN	0.03	0.634
AARD	-0.06	0.634
LCE1E	-0.04	0.634
VCY	0.17	0.634
SOCS6	0.05	0.634
SAA3P	0.02	0.634
NCOA6	-0.04	0.634
MTMR3	-0.04	0.634
SOCS7	0.07	0.634
TRAPPC6A	-0.06	0.634
CYB561D2	-0.04	0.635
RBP3	-0.01	0.635
ZNF628	0.03	0.635
ZNF814	-0.06	0.635
LGI1	-0.08	0.635
PYDC1	0.09	0.635
CCND2	-0.08	0.635
SNAP23	-0.03	0.635
EOGT	0.04	0.635
UGT2A3	0.13	0.635
LRRN3	0.1	0.635
BCR	0.04	0.635
SHCBP1L	-0.01	0.635
TNNT2	0.13	0.635
FAM53A	-0.08	0.635
KATNB1	0.04	0.635
WDR27	0.07	0.636
TPM2	0.08	0.636
DNAJA3	0.03	0.636
TUBGCP4	-0.05	0.636
FAM149B1	-0.04	0.636
TGFB3	-0.1	0.636
OTOP1	0.02	0.636
FBXO28	-0.03	0.636
PARP4	-0.04	0.636
COX6B2	-0.09	0.636
CRYBB2	0.08	0.636
ZIC4	-0.19	0.636
LY6G6C	0.05	0.636
TNR	-0.07	0.636
PGLS	0.05	0.636
PSMD4	0.05	0.636
A2M	-0.12	0.637
BDP1	0.04	0.637
PKMYT1	0.09	0.637
LRRK2	-0.11	0.637
ITPKC	0.04	0.637
BRF1	-0.03	0.637
ZNF75A	-0.04	0.637
RC3H2	-0.05	0.637
LRIG3	0.07	0.637
WBP4	0.03	0.638
LINC01091	-0.09	0.638
SAMD14	-0.09	0.638
RRAGB	-0.05	0.638
FLT3	0.1	0.638
ADAM11	-0.1	0.638
CCDC102B	-0.07	0.638
TMEM11	-0.04	0.638
HBP1	-0.03	0.638
SNORA14A	0.01	0.638
LPAL2	-0.11	0.638
GCOM1	-0.1	0.638
KIRREL1	-0.15	0.638
NME4	0.05	0.639
MYORG	-0.07	0.639
SAMD1	-0.04	0.639
COQ4	-0.04	0.639
AGAP5	-0.06	0.639
PDCD1LG2	0.1	0.639
CLDN16	-0.11	0.639
PTPN21	-0.06	0.639
LINC00028	-0.02	0.639
TBC1D3B	0.07	0.639
ZNF692	0.06	0.639
HNRNPUL1	-0.03	0.639
SMG6	-0.04	0.639
GSTCD	0.05	0.64
H2AC12	0.05	0.64
TTLL8	-0.01	0.64
MYO18B	0.2	0.64
DNMT1	0.05	0.64
GSX1	0.01	0.64
ZNF121	0.05	0.64
DYNLT3	-0.04	0.64
POLE2	-0.09	0.64
IFNK	-0.01	0.641
STEAP3	-0.09	0.641
DNMT3L	-0.17	0.641
ORM2	0.12	0.641
HEXD	-0.05	0.641
STX10	-0.04	0.641
FUT3	-0.13	0.641
EGOT	-0.09	0.641
LINC01312	-0.01	0.641
MVB12A	-0.05	0.641
CNKSR1	0.18	0.642
PWRN1	0.03	0.642
MRGPRG-AS1	0.01	0.642
H2AC16	-0.07	0.642
ST6GALNAC5	0.13	0.642
STXBP2	-0.05	0.642
FPGS	0.04	0.642
PDZK1	0.09	0.642
KRTAP5-11	0.02	0.642
P2RY11	0.06	0.642
ARL13A	-0.02	0.642
HAS3	-0.07	0.642
NLRC3	-0.07	0.642
HS3ST2	-0.09	0.642
ACVR1C	0.11	0.642
MYH9	-0.04	0.642
LINC01588	-0.07	0.642
OPCML	-0.08	0.642
LINC01226	0.1	0.643
LHX4	0.09	0.643
GOLGA8DP	0.04	0.643
TMSB4XP8	0.06	0.643
ZNF716	-0.12	0.643
RNF217-AS1	-0.08	0.643
CRKL	0.04	0.643
SOX11	-0.11	0.643
TRAPPC13	-0.03	0.643
OR7D2	0.09	0.644
KLHL38	0.1	0.644
KRTAP12-1	0	0.644
MYBPHL	-0.12	0.644
EDDM3A	0.08	0.644
MINDY4	0.08	0.644
C1ORF43	0.03	0.644
PRAMEF17	0.02	0.644
C18ORF25	-0.03	0.644
DDRGK1	-0.04	0.644
FHL1	-0.09	0.644
ADRA2C	0.17	0.644
KDM4E	-0.02	0.644
UTF1	-0.03	0.644
DBX2	-0.02	0.644
BRD8	0.04	0.644
LRP2BP	-0.06	0.644
ADGB	-0.03	0.645
P3H4	-0.09	0.645
BCAS2	0.03	0.645
SPDYE4	0.01	0.645
CFL1	0.03	0.645
MICAL1	0.08	0.645
SLC25A28	0.04	0.645
ATP12A	-0.09	0.645
ZDHHC13	0.1	0.646
WDR61	-0.03	0.646
ABCG4	-0.07	0.646
RASAL2-AS1	0.06	0.646
CD19	-0.13	0.646
PPP1R16B	-0.08	0.646
THUMPD3	-0.02	0.646
KDELR3	-0.09	0.646
SLC35F2	0.11	0.646
CHRNA9	0.04	0.646
DYNLT2	-0.07	0.646
IL1RN	0.12	0.646
PKM	0.1	0.646
COL28A1	0.13	0.647
POU3F3	0.03	0.647
NRG2	-0.13	0.647
ZNF660	0.09	0.647
LINC00839	-0.11	0.647
CLEC1A	-0.06	0.647
ITLN2	-0.15	0.647
FAS	-0.09	0.647
NPR1	0.08	0.647
NUB1	0.03	0.647
LPAR1	-0.15	0.647
C6ORF223	-0.19	0.647
CD69	0.11	0.647
DNASE2B	0.09	0.648
GNL1	0.04	0.648
PIWIL4	0.12	0.648
LOX	-0.11	0.648
TTLL1	0.05	0.648
RAD51B	-0.05	0.648
YTHDC2	0.04	0.648
ZNF695	-0.14	0.648
JRKL	-0.05	0.648
RNLS	-0.07	0.648
FAM153CP	0.03	0.648
GLT1D1	0.17	0.648
CDC7	0.08	0.649
ARSD	-0.06	0.649
UBTFL1	-0.01	0.649
ADK	0.05	0.649
MRPS6	0.04	0.649
PIAS2	-0.04	0.649
SMG1P2	-0.07	0.649
ZDHHC22	-0.05	0.649
ABCA8	0.16	0.649
RIPK3	0.08	0.649
TNFSF8	0.1	0.65
TMEM18	0.03	0.65
FCRL5	0.15	0.65
KRIT1	-0.03	0.65
SLFN12L	-0.09	0.65
CRYM	0.1	0.65
OR5H2	-0.03	0.65
NKX1-2	0.05	0.65
ING2	-0.03	0.65
ISX	0.24	0.65
TYW5	0.03	0.65
RHOBTB3	0.06	0.65
KAT6A	-0.05	0.65
LRRC57	-0.03	0.65
IFT88	0.04	0.65
C15ORF61	0.04	0.651
OBP2A	-0.02	0.651
FAM174A	0.03	0.651
MARCHF3	-0.09	0.651
ATG9A	-0.03	0.651
ITLN1	0.12	0.651
HDAC9	0.09	0.651
ZNF432	-0.08	0.651
TINAGL1	-0.07	0.651
LARGE2	-0.18	0.651
ZBTB11	0.03	0.651
ZNF598	0.03	0.651
MAP3K10	-0.05	0.651
ABHD1	-0.12	0.651
RYK	0.03	0.652
DEFB131A	0.01	0.652
MAGEA5	0.05	0.652
NECAB3	-0.06	0.652
ZNF92	-0.05	0.652
ASS1	-0.09	0.652
URAD	-0.01	0.652
LDOC1	0.14	0.652
POLR2J	0.04	0.652
DUSP23	-0.06	0.652
GPR89A	0.03	0.652
AWAT2	-0.03	0.653
PNKP	-0.04	0.653
ADAT3	-0.06	0.653
CLMP	-0.09	0.653
CSTF1	0.03	0.653
CZIB	-0.04	0.653
FLVCR1-DT	0.11	0.653
AIP	-0.04	0.653
FCGR2A	0.08	0.653
ANXA1	0.07	0.653
DNAJC9	0.05	0.653
ZNF140	0.04	0.653
CHP1P2	-0.07	0.653
BORCS8-MEF2B	-0.07	0.654
TESK2	-0.05	0.654
RBM12B	0.05	0.654
ZNF415	-0.1	0.654
CLDND1	-0.03	0.654
ATG4B	0.04	0.654
BCAR1	-0.04	0.654
HGS	0.03	0.655
KEAP1	0.03	0.655
ALPK3	0.12	0.655
TBX15	-0.15	0.655
TTC9	-0.13	0.655
NRSN2	-0.12	0.655
COL27A1	-0.1	0.655
LRRC8D	0.04	0.655
OR5M10	-0.01	0.655
RRH	-0.06	0.655
DZIP1L	0.1	0.655
ASB10	-0.02	0.656
SMIM10	-0.08	0.656
ALKAL1	0.1	0.656
REV3L	-0.05	0.656
OFD1	0.04	0.656
PHKA1	0.09	0.656
CHMP1A	-0.03	0.656
CIAO2B	-0.05	0.656
PCMTD2	0.04	0.656
TICAM2	0.07	0.657
IHO1	-0.08	0.657
SCNN1G	0.1	0.657
PRKAB1	0.03	0.657
TBCC	0.03	0.657
PCDHGB2	0.12	0.657
SCAF1	-0.03	0.657
ZNF490	-0.04	0.657
SP6	0.1	0.657
DENND4B	0.04	0.657
VN1R5	0.03	0.657
PSMB10	-0.06	0.657
SNORA56	0.01	0.657
MGST2	-0.05	0.657
MAGEB18	0.01	0.657
C1ORF216	0.06	0.657
APLF	-0.05	0.657
ANKRD36	0.06	0.657
FOXF2	-0.12	0.657
ETV3	-0.1	0.657
SPART	0.11	0.658
CCN2	0.09	0.658
PIGM	-0.03	0.658
S100A12	-0.08	0.658
PAGE2	-0.19	0.658
H2BP1	-0.07	0.658
UPK3A	0.23	0.658
TMEM203	0.03	0.658
CDHR4	-0.06	0.658
CALHM4	-0.03	0.658
RAB18	-0.03	0.658
ADCYAP1	-0.11	0.658
SLC25A25	-0.08	0.658
CARD17	0.03	0.658
RGS19	-0.05	0.658
SLC35E4	-0.06	0.658
RUBCN	-0.03	0.658
ASAH2B	-0.11	0.658
OXGR1	-0.04	0.659
INCENP	0.07	0.659
ACCSL	-0.01	0.659
PLA2G4D	0.06	0.659
OTUD7A	-0.07	0.659
SART3	0.03	0.659
AFAP1	-0.08	0.659
CBX5	-0.05	0.659
POLR3GL	-0.05	0.659
TRMT10A	-0.04	0.659
NRF1	0.03	0.659
COA1	0.03	0.659
ADRB2	0.12	0.659
CCNG2	0.05	0.659
SNX9	-0.04	0.66
PTEN	0.03	0.66
SLC35F1	-0.1	0.66
CAMK1	0.04	0.66
CCDC153	-0.07	0.66
MYOZ3	-0.08	0.66
MEGF11	-0.06	0.66
IGSF10	0.12	0.661
ZNF552	-0.04	0.661
LTN1	-0.05	0.661
ATP6V0E2-AS1	-0.08	0.661
POM121L4P	-0.02	0.661
OR2S2	0.01	0.661
RGR	-0.01	0.661
GMEB1	0.04	0.661
DAGLB	-0.02	0.661
FAM219B	0.03	0.661
RMND5A	-0.04	0.661
CUL2	-0.03	0.661
TMEM143	0.04	0.661
ZNF28	0.12	0.661
TFF1	0.18	0.662
LINC00518	0.03	0.662
LINC02908	0.06	0.662
ZSCAN5B	-0.05	0.662
VSTM2B	0.01	0.662
DDR1	0.12	0.662
SNORA62	0.02	0.662
LINC00271	0.05	0.662
ME3	-0.08	0.662
MS4A1	0.14	0.663
HK2	0.14	0.663
DLX3	-0.08	0.663
CHST8	-0.13	0.663
S100A9	0.13	0.663
TIMELESS	0.04	0.663
ZNF689	-0.06	0.663
RPAP3	0.03	0.663
POMC	-0.07	0.663
FASTKD3	0.03	0.663
GOLGA7	0.04	0.663
ZNF232	0.04	0.663
MUC21	-0.05	0.663
NOL12	0.04	0.664
GAB2	-0.05	0.664
SP140L	0.06	0.664
ZNF792	0.04	0.664
SENP8	-0.05	0.664
C1ORF56	-0.05	0.664
PCYOX1L	0.07	0.664
DYNLL2	-0.04	0.664
RCN3	-0.06	0.664
LRIG2	0.05	0.664
DIPK2A	0.08	0.664
RPTOR	-0.03	0.664
NSMCE1	-0.05	0.664
SERPINA11	-0.17	0.664
N4BP2	0.11	0.665
TRIM39	-0.03	0.665
RNU6ATAC	-0.01	0.665
FCRLA	-0.13	0.665
RASSF2	-0.07	0.665
OR2C1	-0.04	0.665
TAS2R1	0.03	0.665
TMEM144	-0.1	0.665
PHF2	-0.05	0.665
DLEU7	0.07	0.665
MIAT	0.1	0.665
SNORA46	-0.01	0.665
NUDT1	0.06	0.665
FAM215A	-0.02	0.665
CP	0.1	0.666
DEFB104A	0	0.666
SLC26A2	-0.06	0.666
SEC14L1P1	-0.06	0.666
DRP2	-0.08	0.666
FDPS	0.07	0.666
KIR3DL2	0.07	0.666
ZNF713	-0.06	0.666
C2ORF50	-0.05	0.666
FNDC3A	-0.06	0.666
ZNF687	-0.04	0.666
ZNF366	-0.1	0.666
BCAR4	-0.02	0.666
LINC01098	-0.02	0.666
ADAMTS8	-0.07	0.666
SLCO6A1	-0.1	0.666
CUL3	0.02	0.666
CRTC2	0.03	0.666
SEC11C	0.05	0.667
MPI	0.04	0.667
SLC22A12	0.22	0.667
OTOS	-0.04	0.667
OR4N4	-0.06	0.667
OR51E2	0.06	0.667
REXO1	-0.04	0.667
COX6A2	-0.17	0.667
LAMB4	-0.06	0.667
TLE1	0.04	0.667
DACH1	-0.1	0.667
GGACT	0.06	0.667
RELT	0.07	0.667
FBXO24	-0.06	0.668
SSC4D	-0.09	0.668
MECP2	-0.03	0.668
HDGFL2	-0.04	0.668
DYNLT5	0.1	0.668
SLC9A3R1	0.04	0.668
USP18	-0.07	0.668
MFSD5	-0.03	0.668
MANBA	0.03	0.668
EPGN	-0.01	0.668
CHAF1A	-0.05	0.668
FBN2	0.11	0.668
CD5	0.11	0.668
MTMR12	0.03	0.668
HP	-0.16	0.668
TMEM179B	0.03	0.669
SCMH1	0.04	0.669
OR2T34	-0.01	0.669
RBM8A	0.03	0.669
PYGO2	0.04	0.669
ZG16	0.16	0.669
ABHD14B	-0.05	0.669
TM9SF3	-0.02	0.669
SARS1	0.03	0.669
APOA2	-0.19	0.669
UBA1	-0.02	0.669
ZBTB39	0.04	0.669
ZNF853	0.1	0.669
RNF186	0.11	0.67
SULT1C3	0.06	0.67
KCNA1	0.03	0.67
CAV3	0.02	0.67
NEK4	0.05	0.67
ADAMTS3	-0.12	0.67
SLC6A13	-0.13	0.67
RHEX	-0.15	0.67
RIMBP2	-0.1	0.67
OR1J1	-0.03	0.67
TPGS2	-0.04	0.67
FLJ16779	-0.05	0.67
RFC5	-0.04	0.67
CTNNA3	-0.11	0.671
NOTO	-0.03	0.671
COX16	-0.03	0.671
RAD51C	0.03	0.671
PAXX	-0.04	0.671
SIAH3	0.04	0.671
LIPM	0.01	0.671
CDK13	-0.03	0.671
PAQR8	0.08	0.671
EN1	-0.09	0.671
CLIC2	-0.07	0.672
TUBB8	0.07	0.672
SRSF5	0.03	0.672
MICALL1	-0.03	0.672
CCDC134	-0.05	0.672
WDR20	0.03	0.672
ITGAD	0.1	0.672
FCGR2B	-0.13	0.672
SERTAD3	-0.04	0.672
PCTP	0.05	0.672
COA5	-0.03	0.672
GCNT4	0.1	0.672
ANKRD30B	0.05	0.673
TENT5C	-0.09	0.673
CILP2	-0.13	0.673
IFT140	-0.06	0.673
KERA	-0.02	0.673
RRAGC	0.06	0.673
AP1S3	0.06	0.673
USP4	-0.03	0.673
TAC4	-0.03	0.673
SUMO1P1	-0.04	0.673
ZNF17	-0.03	0.673
ISYNA1	0.11	0.673
SLC30A10	-0.09	0.673
LHB	0.06	0.673
GLOD4	0.03	0.674
ASAP1-IT1	0.01	0.674
PRRG1	0.05	0.674
RNF182	0.08	0.674
PAPOLB	0.02	0.674
DUSP1	0.08	0.674
TRRAP	0.04	0.675
DMRT1	0.04	0.675
TECPR1	0.05	0.675
IPCEF1	0.08	0.675
SNORA80A	-0.01	0.675
BPTF	0.04	0.675
PSMB2	-0.04	0.675
SPPL3	0.03	0.675
PLEKHS1	-0.11	0.675
OR5K4	0	0.675
ZNF831	0.1	0.675
PACRG	0.12	0.675
AGAP6	-0.05	0.675
TLDC2	-0.1	0.675
SNORA5A	-0.02	0.675
ZNF451	-0.04	0.675
DPM1	0.03	0.676
CSTL1	0.07	0.676
GABRP	0.15	0.676
MANCR	-0.08	0.676
CEACAM4	0.07	0.676
IFNA1	0	0.676
NRP2	-0.07	0.676
TBC1D29P	-0.02	0.677
ATAD3A	0.04	0.677
TIAF1	0.05	0.677
GRIK5	-0.07	0.677
PKN3	-0.06	0.678
SNORA25	-0.01	0.678
PLEKHO2	0.05	0.678
OXA1L	-0.03	0.678
ANP32E	0.03	0.678
RNF41	-0.02	0.678
DNAI2	0.02	0.678
SART1	0.03	0.679
STAC2	0.08	0.679
CEP128	-0.06	0.679
DEFA6	0.04	0.679
OCSTAMP	0.04	0.679
TTYH1	-0.16	0.679
NTNG2	-0.1	0.679
HLTF	0.04	0.679
OR2C3	-0.03	0.679
MUC4	-0.08	0.679
PDE6A	-0.07	0.679
PRUNE2	0.1	0.679
USB1	0.03	0.679
GTF2IRD1	-0.05	0.679
HIPK3	-0.11	0.68
GAA	-0.04	0.68
OR2A1	-0.05	0.68
CHRNA5	0.11	0.68
CIBAR2	-0.05	0.68
SLC6A9	-0.11	0.68
TNNI3	-0.1	0.68
TAS2R8	-0.01	0.681
KCNJ1	0.04	0.681
CAMSAP3	0.05	0.681
CLPP	-0.03	0.681
SFXN2	-0.06	0.681
TNFRSF4	0.08	0.681
PAG1	0.07	0.681
MR1	-0.06	0.681
GCKR	0.11	0.681
TRIM46	-0.08	0.681
NOVA1	0.14	0.681
COL2A1	0.24	0.681
HCN2	-0.14	0.681
USP24	0.03	0.681
EPHB2	0.13	0.682
CFL2	0.05	0.682
C8ORF48	-0.07	0.682
GPR22	-0.03	0.682
SNAPC2	0.04	0.682
PCDH11Y	-0.01	0.682
REXO1L1P	0.01	0.682
TMEM251	-0.03	0.682
PIGZ	0.08	0.682
SMAD9	0.1	0.682
GABRR1	0.05	0.682
RNF148	0.06	0.682
COLGALT2	-0.08	0.682
BRIP1	-0.08	0.682
HOXB1	0	0.683
SETD3	-0.02	0.683
ZNF532	-0.08	0.683
